,property_code,property_name
0,6921,Klein Welmoed Guest House
1,7986,Groenvlei Guest Farm
2,29243,Laanhof
3,3237,Evergreen Manor and Spa
4,71946,Kunjani Villas
5,11826,Aan-den-Weg
6,52026,The Wild Mushroom Guest House
7,54480,De Haas Living @ Hamman 14
8,11326,Boord Guesthouse
9,54483,De Haas Living @ Die Laan 40
10,887,House of House
11,1365,Majeka House
12,42794,De Haas Living @ Die Laan 2
13,27079,Batavia Boutique Hotel
14,25889,de Oude Meul Guest House
15,80709,Concord 6
16,1213,LovanE Boutique Wine Estate & Guest House
17,41488,Villa Grande Gastehuis
18,49182,Besigheim
19,86265,EersteBosch
20,30390,Webersburg Estate
21,47154,UniqueStay Oudehoek One Bedroom Apartment
22,59592,10 Alexander B&B
23,93919,Mitre's Edge Wine Estate
24,8570,Weltevreden Estate
25,19606,Magnolia Place Stellenbosch Guest House
26,5450,Coopmanhuijs Boutique Hotel & Spa
27,95,5 Seasons Guest House
28,106428,Concord 12
29,4882,Zorgvliet Wines Country Lodge
30,106433,Oude Hoek 210
31,106392,Andringa Walk
32,106407,Concord 2
33,262,Le Pommier Country Lodge
34,6082,Lumley's Place Guest House
35,36323,De Oude Schuur
36,46197,Lauradale Accommodation
37,5448,The Stellenbosch Hotel
38,18611,107 Dorpstraat Boutique Hotel
39,83919,4 Piet Retief
40,5030,Avemore Jan Cats 5
41,99104,Time-Out Apartment
42,94797,Winelands Golf Lodges 37
43,97127,Winelands Home
44,3918,Marianne Wine Estate
45,38271,Avemore Vredehof 1
46,38274,Avemore at Vredehof 2
47,9252,Rusticana Hospitality Estate
48,90034,Val de Vine
49,104767,Avemore Hidden Haven
50,104750,Avemore Orchard Apartment
51,14387,Banhoek Lodge
52,86776,Camberley Wines Cottages
53,19412,Muldersvlei Estate
54,96602,Winelands Golf Lodges 38
55,96594,Winelands Golf Lodges 9
56,96597,Winelands Golf Lodges 27
57,94788,De Zalze Winelands Golf Lodges 30
58,103817,Winelands Golf Lodges 30
59,104759,Avemore Olive Apartment
60,96027,Winelands Golf Lodges 10
61,98937,Avemore Manor House
62,23318,Eikehoff Self-catering Apartment
63,22067,Avemore Lagratitude No 6
64,94720,Winelands Golf Lodges 15
65,46671,The Log Cabin
66,96595,Winelands Golf Lodges 16
67,16860,Avenues Guest Lodge
68,96591,Winelands Golf Lodges 1
69,91969,Gemoedsrus Farm
70,48642,Avemore at Vredehof 3
71,94789,Winelands Golf Lodges 33
72,26534,Clos Malverne Wine Estate Accommodation
73,84973,Cultivar Guest Lodge
74,85691,Avemore Jan Cats No 3
75,76847,Brenaissance Wine & Stud Estate
76,94708,Winelands Golf Lodges 4
77,77303,Stumble Inn
78,94782,Winelands Golf Lodges 18
79,94799,Winelands Golf Lodges 40
80,38394,Avemore Eikehof No 24
81,64912,The Den Apartments
82,94452,Winelands Golf Lodges 19
83,92799,De Zalze Winelands Golf Lodges 29
84,38397,Avemore Eikehof No 26
85,8265,Feel @ Home
86,27226,Groendraai Accommodation
87,9377,Bona Vista Self-Catering Accommodation
88,7083,In the Vineyard Cottages
89,58968,Mooiplaas Manor House 1833
90,353,Summerwood Guest House
91,27310,Schuilplaats Studio and Overnight Accommodation
92,92553,Fynbos and Luxurious 1-bedroom garden cottage
93,2580,Devonvale Golf & Wine Estate
94,104462,Plekkie in Stellies
95,48156,87 Buitekring Gaste Akkommodasie
96,86357,Villa 1 on Kaneel
97,102284,Oude Hoek
98,98334,Bestuis Cottages
99,910,Knorhoek Guest House and Wines
100,105031,Le Grand Jardin
101,102791,La Colina Vanue
102,105085,Lucano 2
103,97740,Heins Manor House
104,53274,Linquenda Gaste Plaas
105,21075,Belcharto Barns and Cottages
106,8023,The Devon Valley Hotel
107,8073,Lanzerac Hotel & Spa
108,42983,At Home in Mostertsdrift
109,97692,Shiraz 12
110,81002,Fabulous Faber
111,36893,Marie B&B
112,29878,Westside Studio
113,12966,L'Avenir Country Lodge
114,86785,Nostalgie - Rus 'n Bietjie
115,43287,Annika Self-catering & B&B
116,84830,Klein Akkerdraai Lodge
117,19078,Klein Bottelary
118,19353,Aan de Vliet Guest House
119,83136,Stellenbosch Manor House
120,57038,Escape to 205
121,97201,Ladybird Vineyards Guesthouse
122,7034,Wild Clover Cottages
123,918,Angala Boutique Hotel
124,19540,Kierie Kwaak Self-Catering Units
125,19907,Languedoc Farm
126,38405,Homestead at Oldenburg Vineyards
127,26907,401 Rozendal Cottages
128,91862,11 on Orange
129,75616,Hawksmoor House
130,562,Zevenwacht Wine Estate
131,63906,Zevenbosch Guest Villa
132,87140,The Homestead at Hazendal
133,98410,Dawn Mountains Farm
134,90970,Santika Villa
135,98322,Schoon
136,88034,The Farmhouse B&B
137,17412,Boschendal Farm Estate
138,33209,Station House
139,28154,Kimi's Self-Catering Cottage
140,64686,The Vineyard Group
141,62016,Cozy Townhouse
142,54005,Mont Angelis
143,40888,Waterside on Le Bonheur
144,84575,Cape Winelands Business Villas
145,54935,Helderzicht
146,12608,Saxenburg Guest House
147,82714,Hidden Zen Self-catering
148,81921,Platform 162
149,61474,Northern Vine Guesthouse
150,7056,Shirley's Place
151,82217,New Hunters Moon
152,87171,Nita se Plek
153,91559,Walters Lane Luxury Accommodation
154,5100,Dieu Donne Stellenbosch
155,62657,Winelands Gateway
156,99745,Villa Millettia
157,76711,Sandmartins
158,78642,Villa Simondium
159,81376,AlCoPe Residence
160,29433,Beth El Guesthouse
161,83288,Raithby Winelands Historical Cottage
162,30214,Villa Mariss Guest House
163,54176,Elephant's Heart
164,80519,Avontuur Manor House and Wine Estate
165,3578,Elim Bed & Breakfast
166,81760,Helderbosch Self-catering Accommodation
167,20296,Villa Armaan
168,102991,Little Farm
169,65408,Cape Pine Guest House
170,18497,The Country Guesthouse
171,9082,Pearl Valley Golf Estate - Golf Safari SA
172,90391,Heathers Place
173,23709,Frieden-Hof Guest Accommodation
174,83418,Pearl Valley Hotel by Mantis
175,102586,Strawberry Manor at In The Vine
176,79147,17 @ Peppertree
177,10838,Diamant Estate
178,24018,Cat's Eye Cottage
179,102568,Pascali Apartment
180,25269,Beulah Land Guest House & Self-Catering Accommodation
181,64504,De Villiers Family Farm
182,44572,Vredenburg Manor House
183,97653,Tuscan Bliss Guest House
184,2627,The Vinelands on Alpha
185,102183,Rus & Vrede
186,103949,Bel Aire Winelands Estate
187,100417,Villa The Flying Dutchman
188,70208,5 on Pieter Hugo
189,12025,Seventeen Lillies
